Time,Avg. TTS,Avg. Speed,# Good Days,Min. Speed,Max Speed,% cong (45.0),% cong (36.0),95 %ile,90 %ile,85 %ile,80 %ile,75 %ile,70 %ile,65 %ile,60 %ile,55 %ile,50 %ile,45 %ile,40 %ile,35 %ile,30 %ile,25 %ile,20 %ile,15 %ile,10 %ile,5 %ile
0:00:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
0:05:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
0:10:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
0:15:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
0:20:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
0:25:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
0:30:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
0:35:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
0:40:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
0:45:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
0:50:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
0:55:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1:00:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1:05:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1:10:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1:15:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1:20:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1:25:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1:30:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1:35:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
1:40:00,393,60,85,60,60,0,0,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393,393
