Time,Mean Speed,Mean Volume,After,% Congested (19%),405es02616:_MS___1 good days,405es02616:_MS___2 good days,,,,,Time,Mean Speed,Mean Volume,Before,Before % Congested (19%),405es02616:_MS___1 good days,405es02616:_MS___2 good days
0:00:00,60,36.30232558,217.8139535,0,86,85,,,,,0:00:00,60,35.03448276,210.2068966,0,87,87
0:05:00,60,34.90697674,209.4418605,0,86,85,,,,,0:05:00,60,33.95402299,203.7241379,0,87,87
0:10:00,60,37.23255814,223.3953488,0,86,85,,,,,0:10:00,60,33.59770115,201.5862069,0,87,87
0:15:00,60,35.54651163,213.2790698,0,86,85,,,,,0:15:00,60,31.32183908,187.9310345,0,87,87
0:20:00,60,33.8255814,202.9534884,0,86,85,,,,,0:20:00,60,31.62068966,189.7241379,0,87,87
0:25:00,60,32.04651163,192.2790698,0,86,85,,,,,0:25:00,60,29.32183908,175.9310345,0,87,87
0:30:00,60,27.6627907,165.9767442,0,86,85,,,,,0:30:00,60,28.16091954,168.9655172,0,87,87
0:35:00,60,28.22093023,169.3255814,0,86,85,,,,,0:35:00,60,27.47727273,164.8636364,0,88,88
0:40:00,60,27.3372093,164.0232558,0,86,85,,,,,0:40:00,60,28.59090909,171.5454545,0,88,88
0:45:00,60,28.86046512,173.1627907,0,86,85,,,,,0:45:00,60,28.64772727,171.8863636,0,88,88
0:50:00,60,29.52325581,177.1395349,0,86,85,,,,,0:50:00,60,29.81818182,178.9090909,0,88,88
0:55:00,60,26.18604651,157.1162791,0,86,85,,,,,0:55:00,60,25.80681818,154.8409091,0,88,88
1:00:00,60,24.13953488,144.8372093,0,86,85,,,,,1:00:00,60,22.03409091,132.2045455,0,88,88
1:05:00,60,23.86046512,143.1627907,0,86,85,,,,,1:05:00,60,25.30681818,151.8409091,0,88,88
1:10:00,60,22.30232558,133.8139535,0,86,85,,,,,1:10:00,60,25.25,151.5,0,88,88
1:15:00,60,24.11627907,144.6976744,0,86,85,,,,,1:15:00,60,24.05681818,144.3409091,0,88,88
1:20:00,60,26.79069767,160.744186,0,86,85,,,,,1:20:00,60,23.26136364,139.5681818,0,88,88
1:25:00,60,24.09302326,144.5581395,0,86,85,,,,,1:25:00,60,22.01136364,132.0681818,0,88,88
1:30:00,60,21.3372093,128.0232558,0,86,85,,,,,1:30:00,60,20.38636364,122.3181818,0,88,88
1:35:00,60,20.73255814,124.3953488,0,86,85,,,,,1:35:00,60,19.30681818,115.8409091,0,88,88
1:40:00,60,21.29069767,127.744186,0,86,85,,,,,1:40:00,60,18.15909091,108.9545455,0,88,88
